;PauliCoefficients;PauliStrings;Qbits
0;0.12499999999999994;III;[0, 1, 2]
1;0.005944029816403969;IIX;[0, 1, 2]
2;-0.005975651216388349;IIY;[0, 1, 2]
3;-0.12465728475332408;IIZ;[0, 1, 2]
4;-0.033268568516403724;IXI;[0, 1, 2]
5;-0.0017745865147107845;IXX;[0, 1, 2]
6;-0.0017651991568469168;IXY;[0, 1, 2]
7;0.033360034635527634;IXZ;[0, 1, 2]
8;0.033268568516388305;IYI;[0, 1, 2]
9;-0.001774586516907113;IYX;[0, 1, 2]
10;-0.0017651991546592503;IYY;[0, 1, 2]
11;-0.033360034635511175;IYZ;[0, 1, 2]
12;-0.11548494155765239;IZI;[0, 1, 2]
13;-0.006433771512598354;IZX;[0, 1, 2]
14;0.006467998269303598;IZY;[0, 1, 2]
15;0.11516831395584823;IZZ;[0, 1, 2]
16;0.013473378130500414;XII;[0, 1, 2]
17;0.0007648330294482011;XIX;[0, 1, 2]
18;0.0007601785486581473;XIY;[0, 1, 2]
19;-0.013510390838240122;XIZ;[0, 1, 2]
20;-0.003945069155245359;XXI;[0, 1, 2]
21;0.00020652294614194447;XXX;[0, 1, 2]
22;-0.00020742915313790914;XXY;[0, 1, 2]
23;0.003934262778646383;XXZ;[0, 1, 2]
24;-0.0039450691571764574;XYI;[0, 1, 2]
25;-0.00020652294524765817;XYX;[0, 1, 2]
26;0.00020742915297642414;XYY;[0, 1, 2]
27;0.003934262780638294;XYZ;[0, 1, 2]
28;-0.014583479401401095;XZI;[0, 1, 2]
29;-0.0007066135815584842;XZX;[0, 1, 2]
30;-0.0007023134023638706;XZY;[0, 1, 2]
31;0.014623541667562679;XZZ;[0, 1, 2]
32;-0.013432413331643748;YII;[0, 1, 2]
33;0.0007665581971098677;YIX;[0, 1, 2]
34;0.0007632092892217677;YIY;[0, 1, 2]
35;0.013469308609131411;YIZ;[0, 1, 2]
36;-0.003957101863498575;YXI;[0, 1, 2]
37;-0.00020570283254399088;YXX;[0, 1, 2]
38;0.00020696232618777307;YXY;[0, 1, 2]
39;0.003946261092435985;YXZ;[0, 1, 2]
40;-0.003957101861569319;YYI;[0, 1, 2]
41;0.00020570283270647982;YYX;[0, 1, 2]
42;-0.00020696232708140408;YYY;[0, 1, 2]
43;0.003946261090446143;YYZ;[0, 1, 2]
44;0.01453913942263017;YZI;[0, 1, 2]
45;-0.0007082074289925967;YZX;[0, 1, 2]
46;-0.0007051134411975708;YZY;[0, 1, 2]
47;-0.01457907458320297;YZZ;[0, 1, 2]
48;-0.12328261277632621;ZII;[0, 1, 2]
49;-0.0060267668915858046;ZIX;[0, 1, 2]
50;0.006058817343604674;ZIY;[0, 1, 2]
51;0.12294459807533804;ZIZ;[0, 1, 2]
52;0.03373201819221235;ZXI;[0, 1, 2]
53;0.0017502277199971277;ZXX;[0, 1, 2]
54;0.0017409660286818555;ZXY;[0, 1, 2]
55;-0.033824756269828934;ZXZ;[0, 1, 2]
56;-0.03373201819219762;ZYI;[0, 1, 2]
57;0.001750227722310566;ZYX;[0, 1, 2]
58;0.0017409660263768615;ZYY;[0, 1, 2]
59;0.03382475626981318;ZYZ;[0, 1, 2]
60;0.11389828265251185;ZZI;[0, 1, 2]
61;0.006523325477427722;ZZX;[0, 1, 2]
62;-0.006558016636708594;ZZY;[0, 1, 2]
63;-0.11358599778866293;ZZZ;[0, 1, 2]
