;PauliCoefficients;PauliStrings;Qbits
0;0.4999999999999998;III;[0, 1, 2]
1;8.569009827337666e-14;IIX;[0, 1, 2]
2;-8.520236653795227e-14;IIY;[0, 1, 2]
4;-1.5612511283791264e-15;IXI;[0, 1, 2]
5;1.216060807824118e-13;IXX;[0, 1, 2]
6;3.1129121497294396e-15;IXY;[0, 1, 2]
7;-3.177666463294315e-14;IXZ;[0, 1, 2]
8;4.100886297209172e-15;IYI;[0, 1, 2]
9;-4.592034963542789e-15;IYX;[0, 1, 2]
10;1.230844175496501e-13;IYY;[0, 1, 2]
11;2.584044089815052e-14;IYZ;[0, 1, 2]
12;-0.4619397662556879;IZI;[0, 1, 2]
15;-2.4980018054066022e-15;IZZ;[0, 1, 2]
16;4.044296364816291e-14;XII;[0, 1, 2]
19;1.008356809509281e-14;XIZ;[0, 1, 2]
20;-9.825799028584381e-15;XXI;[0, 1, 2]
21;2.3662875044822007e-13;XXX;[0, 1, 2]
22;-2.9531260249682223e-13;XXY;[0, 1, 2]
23;-1.5363697727227565e-13;XXZ;[0, 1, 2]
24;2.8083275722262657e-14;XYI;[0, 1, 2]
25;3.240493810785505e-13;XYX;[0, 1, 2]
26;2.3934380952855827e-13;XYY;[0, 1, 2]
27;-3.7287067964492104e-14;XYZ;[0, 1, 2]
29;-1.5446330195803548e-14;XZX;[0, 1, 2]
30;1.526100480795517e-13;XZY;[0, 1, 2]
32;-5.5941091602756954e-14;YII;[0, 1, 2]
35;5.367613905432611e-15;YIZ;[0, 1, 2]
36;-2.9716951555763815e-14;YXI;[0, 1, 2]
37;-2.5242481715981313e-13;YXX;[0, 1, 2]
38;-3.1351863379741607e-13;YXY;[0, 1, 2]
39;2.1680194531997765e-14;YXZ;[0, 1, 2]
40;-4.656973591476987e-15;YYI;[0, 1, 2]
41;2.6858430843962333e-13;YYX;[0, 1, 2]
42;-2.6092084222384404e-13;YYY;[0, 1, 2]
43;-1.5984273366714818e-13;YYZ;[0, 1, 2]
45;1.5658717269877165e-13;YZX;[0, 1, 2]
46;-2.5642546896617602e-14;YZY;[0, 1, 2]
49;-3.693040271919405e-14;ZIX;[0, 1, 2]
50;3.4253117920171605e-14;ZIY;[0, 1, 2]
52;-5.960509863456309e-15;ZXI;[0, 1, 2]
53;-2.900457245257407e-13;ZXX;[0, 1, 2]
54;3.652478913394007e-15;ZXY;[0, 1, 2]
55;-0.13529902503646038;ZXZ;[0, 1, 2]
56;-1.469657728847551e-14;ZYI;[0, 1, 2]
57;-8.510631300173363e-16;ZYX;[0, 1, 2]
58;-2.962505322437123e-13;ZYY;[0, 1, 2]
59;0.1352990250364853;ZYZ;[0, 1, 2]
60;1.697253448895708e-14;ZZI;[0, 1, 2]
63;1.6930901125533637e-15;ZZZ;[0, 1, 2]
