;PauliCoefficients;PauliStrings;Qbits
0;0.4999999999999998;III;[0, 1, 2]
1;8.930577240641832e-14;IIX;[0, 1, 2]
2;-9.250331087982655e-14;IIY;[0, 1, 2]
4;-1.844080443902385e-13;IXI;[0, 1, 2]
5;3.8856379933899493e-13;IXX;[0, 1, 2]
6;-3.660039090835312e-14;IXY;[0, 1, 2]
7;7.80486786311485e-14;IXZ;[0, 1, 2]
8;1.9233226122850056e-13;IYI;[0, 1, 2]
9;-6.536551609914643e-14;IYX;[0, 1, 2]
10;3.8880648259427126e-13;IYY;[0, 1, 2]
11;-7.917277944358148e-14;IYZ;[0, 1, 2]
12;-0.46193976625565847;IZI;[0, 1, 2]
15;-3.7511660444522477e-14;IZZ;[0, 1, 2]
16;1.0106870105517882e-13;XII;[0, 1, 2]
19;-1.182934792749061e-13;XIZ;[0, 1, 2]
20;4.480008822283936e-13;XXI;[0, 1, 2]
21;-2.341025630408563e-13;XXX;[0, 1, 2]
22;6.44785125792786e-14;XXY;[0, 1, 2]
23;-3.7811872669050795e-13;XXZ;[0, 1, 2]
24;-5.678351317421928e-14;XYI;[0, 1, 2]
25;3.3436103948435124e-14;XYX;[0, 1, 2]
26;-1.293720357826811e-13;XYY;[0, 1, 2]
27;7.285896325770123e-15;XYZ;[0, 1, 2]
29;-3.472173201989613e-14;XZX;[0, 1, 2]
30;-5.781836077506348e-14;XZY;[0, 1, 2]
32;-1.0857599672510209e-13;YII;[0, 1, 2]
35;1.1449860026379046e-13;YIZ;[0, 1, 2]
36;-4.505976029221558e-14;YXI;[0, 1, 2]
37;5.0226702127010946e-14;YXX;[0, 1, 2]
38;4.1697416321310424e-14;YXY;[0, 1, 2]
39;3.51599247691179e-14;YXZ;[0, 1, 2]
40;4.4915695530740885e-13;YYI;[0, 1, 2]
41;-1.4719493714057288e-13;YYX;[0, 1, 2]
42;1.6045494184850215e-13;YYY;[0, 1, 2]
43;-3.8037116840135265e-13;YYZ;[0, 1, 2]
45;-5.677807355512396e-14;YZX;[0, 1, 2]
46;-7.830499598526567e-14;YZY;[0, 1, 2]
49;-1.0316042844796567e-13;ZIX;[0, 1, 2]
50;9.464231011461996e-14;ZIY;[0, 1, 2]
52;6.145084441300241e-14;ZXI;[0, 1, 2]
53;-3.266860577511915e-13;ZXX;[0, 1, 2]
54;2.3953926728221033e-14;ZXY;[0, 1, 2]
55;-0.13529902503651864;ZXZ;[0, 1, 2]
56;-6.634970350916092e-14;ZYI;[0, 1, 2]
57;1.074558482955323e-14;ZYX;[0, 1, 2]
58;-3.2894075966133616e-13;ZYY;[0, 1, 2]
59;0.13529902503652771;ZYZ;[0, 1, 2]
60;-4.604649994632837e-14;ZZI;[0, 1, 2]
63;1.1025902413308586e-13;ZZZ;[0, 1, 2]
