;PauliCoefficients;PauliStrings;Qbits
0;0.5000000000000002;III;[0, 1, 2]
1;-1.4846522448930255e-14;IIX;[0, 1, 2]
2;1.3640781212909125e-14;IIY;[0, 1, 2]
4;7.70911112724093e-15;IXI;[0, 1, 2]
5;2.8811588531629795e-14;IXX;[0, 1, 2]
6;4.944330535272545e-14;IXY;[0, 1, 2]
7;-3.7470027081099033e-16;IXZ;[0, 1, 2]
8;-4.930084118726086e-15;IYI;[0, 1, 2]
9;-4.5978628890330775e-14;IYX;[0, 1, 2]
10;2.2396581117467562e-14;IYY;[0, 1, 2]
11;2.596534098842085e-14;IYZ;[0, 1, 2]
12;-0.4619397662556359;IZI;[0, 1, 2]
15;1.2351231148954867e-15;IZZ;[0, 1, 2]
16;-3.7128937077635094e-14;XII;[0, 1, 2]
19;4.21320964227867e-16;XIZ;[0, 1, 2]
20;-1.4194591682614721e-14;XXI;[0, 1, 2]
21;-2.0193775037563588e-13;XXX;[0, 1, 2]
23;8.521937495953313e-14;XXZ;[0, 1, 2]
24;-9.956987491455127e-15;XYI;[0, 1, 2]
25;-3.452682475861557e-14;XYX;[0, 1, 2]
26;-2.1020284037692738e-13;XYY;[0, 1, 2]
27;-4.8757981159497366e-14;XYZ;[0, 1, 2]
29;5.850215331702074e-14;XZX;[0, 1, 2]
30;-6.768454611887076e-14;XZY;[0, 1, 2]
32;1.0652801340702012e-14;YII;[0, 1, 2]
35;-7.063875309340495e-15;YIZ;[0, 1, 2]
36;1.3326471003105578e-14;YXI;[0, 1, 2]
37;2.2609870789849773e-14;YXX;[0, 1, 2]
38;2.2068490698051724e-13;YXY;[0, 1, 2]
39;4.1761624540448405e-14;YXZ;[0, 1, 2]
40;-1.4808250112241517e-14;YYI;[0, 1, 2]
41;-2.0872312125191916e-13;YYX;[0, 1, 2]
42;2.1152106758834388e-14;YYY;[0, 1, 2]
43;8.497434526855141e-14;YYZ;[0, 1, 2]
45;-6.158482469646731e-14;YZX;[0, 1, 2]
46;-4.8974726726304374e-14;YZY;[0, 1, 2]
49;-2.1080034419418414e-14;ZIX;[0, 1, 2]
50;-5.061706262465826e-15;ZIY;[0, 1, 2]
52;-6.453171330633722e-16;ZXI;[0, 1, 2]
53;4.8675039693302224e-14;ZXX;[0, 1, 2]
54;2.1803305688683494e-15;ZXY;[0, 1, 2]
55;-0.13529902503656194;ZXZ;[0, 1, 2]
56;2.9178048865929895e-15;ZYI;[0, 1, 2]
57;-2.418421365946166e-15;ZYX;[0, 1, 2]
58;4.847034232313696e-14;ZYY;[0, 1, 2]
59;0.13529902503656277;ZYZ;[0, 1, 2]
60;7.577272143066693e-15;ZZI;[0, 1, 2]
63;-3.760880495917718e-15;ZZZ;[0, 1, 2]
