;PauliCoefficients;PauliStrings;Qbits
0;0.49999999999999983;III;[0, 1, 2]
1;-0.06267504907665211;IIX;[0, 1, 2]
2;-0.02050079202627679;IIY;[0, 1, 2]
3;-0.08092954298573288;IIZ;[0, 1, 2]
4;0.06533807142869603;IXI;[0, 1, 2]
5;-0.0816888300228005;IXX;[0, 1, 2]
6;0.017424220254310414;IXY;[0, 1, 2]
7;0.027119481223803858;IXZ;[0, 1, 2]
8;-0.007467174063067704;IYI;[0, 1, 2]
9;0.04073335842362139;IYX;[0, 1, 2]
10;-0.10200261198109101;IYY;[0, 1, 2]
11;-0.04323199123934037;IYZ;[0, 1, 2]
12;-0.13187527944201644;IZI;[0, 1, 2]
13;0.07410080672405618;IZX;[0, 1, 2]
14;-0.02865084011282698;IZY;[0, 1, 2]
15;-0.06327582545593033;IZZ;[0, 1, 2]
16;-0.06267504907665221;XII;[0, 1, 2]
17;-0.10035012507879128;XIX;[0, 1, 2]
18;0.0017994009725373194;XIY;[0, 1, 2]
19;0.020434468708326083;XIZ;[0, 1, 2]
20;-0.08168883002280049;XXI;[0, 1, 2]
21;-0.13934298623806016;XXX;[0, 1, 2]
22;-0.052691821469415895;XXY;[0, 1, 2]
23;0.01971070983646466;XXZ;[0, 1, 2]
24;0.0407333584236216;XYI;[0, 1, 2]
25;-0.009105768256027817;XYX;[0, 1, 2]
26;0.04723163125780101;XYY;[0, 1, 2]
27;0.09682717260904511;XYZ;[0, 1, 2]
28;0.07410080672405617;XZI;[0, 1, 2]
29;0.09733552027591964;XZX;[0, 1, 2]
30;-0.0042450765830676414;XZY;[0, 1, 2]
31;-0.029332512756139045;XZZ;[0, 1, 2]
32;-0.020500792026276894;YII;[0, 1, 2]
33;0.0017994009725373471;YIX;[0, 1, 2]
34;0.01116994117612663;YIY;[0, 1, 2]
35;0.05118247599557291;YIZ;[0, 1, 2]
36;0.017424220254310407;YXI;[0, 1, 2]
37;-0.05269182146941591;YXX;[0, 1, 2]
38;-0.03723871519727795;YXY;[0, 1, 2]
39;-0.036771938630200375;YXZ;[0, 1, 2]
40;-0.10200261198109091;YYI;[0, 1, 2]
41;0.04723163125780087;YYX;[0, 1, 2]
42;0.008849039956877823;YYY;[0, 1, 2]
43;-0.028341182186398927;YYZ;[0, 1, 2]
44;-0.028650840112827078;YZI;[0, 1, 2]
45;-0.0042450765830675235;YZX;[0, 1, 2]
46;0.028420941437260917;YZY;[0, 1, 2]
47;0.07855206913834345;YZZ;[0, 1, 2]
48;-0.0809295429857328;ZII;[0, 1, 2]
49;0.020434468708326065;ZIX;[0, 1, 2]
50;0.0511824759955729;ZIY;[0, 1, 2]
51;0.08918018390266466;ZIZ;[0, 1, 2]
52;0.027119481223803938;ZXI;[0, 1, 2]
53;0.01971070983646442;ZXX;[0, 1, 2]
54;-0.036771938630200215;ZXY;[0, 1, 2]
55;-0.1744182345308173;ZXZ;[0, 1, 2]
56;-0.043231991239340385;ZYI;[0, 1, 2]
57;0.09682717260904514;ZYX;[0, 1, 2]
58;-0.028341182186398917;ZYY;[0, 1, 2]
59;-0.09321010391017032;ZYZ;[0, 1, 2]
60;-0.0632758254559303;ZZI;[0, 1, 2]
61;-0.02933251275613905;ZZX;[0, 1, 2]
62;0.07855206913834353;ZZY;[0, 1, 2]
63;0.005553977297024698;ZZZ;[0, 1, 2]
