;PauliCoefficients;PauliStrings;Qbits
0;0.5;III;[0, 1, 2]
1;-9.670670105495151e-14;IIX;[0, 1, 2]
2;9.759996829810083e-14;IIY;[0, 1, 2]
4;5.087943955039975e-14;IXI;[0, 1, 2]
5;-3.2369680491517853e-13;IXX;[0, 1, 2]
6;-8.541272476989377e-16;IXY;[0, 1, 2]
7;3.741104648291582e-14;IXZ;[0, 1, 2]
8;-5.059841434729151e-14;IYI;[0, 1, 2]
9;2.7966683748395112e-14;IYX;[0, 1, 2]
10;-3.216545157795988e-13;IYY;[0, 1, 2]
11;-4.545669396449625e-14;IYZ;[0, 1, 2]
12;-0.46193976625561595;IZI;[0, 1, 2]
15;2.901845430614003e-14;IZZ;[0, 1, 2]
16;-3.90895156429369e-15;XII;[0, 1, 2]
19;-1.4964694651908336e-14;XIZ;[0, 1, 2]
20;3.4078895423386547e-14;XXI;[0, 1, 2]
21;-4.580827070205229e-14;XXX;[0, 1, 2]
22;1.9358286283632142e-13;XXY;[0, 1, 2]
23;2.337861712630484e-14;XXZ;[0, 1, 2]
24;9.863555674570624e-15;XYI;[0, 1, 2]
25;-1.9190559725078135e-13;XYX;[0, 1, 2]
26;-3.2231607976206806e-14;XYY;[0, 1, 2]
27;3.3674490635419624e-14;XYZ;[0, 1, 2]
29;8.610290658549722e-15;XZX;[0, 1, 2]
30;-6.31057053669003e-14;XZY;[0, 1, 2]
32;1.676693297665609e-14;YII;[0, 1, 2]
35;1.2840321266280044e-14;YIZ;[0, 1, 2]
36;1.7668179667082505e-14;YXI;[0, 1, 2]
37;9.043414202929014e-14;YXX;[0, 1, 2]
38;1.3504451857896562e-13;YXY;[0, 1, 2]
39;-1.1471762315967279e-14;YXZ;[0, 1, 2]
40;3.342971688499451e-14;YYI;[0, 1, 2]
41;-1.250159580563414e-13;YYX;[0, 1, 2]
42;1.0602876786443136e-13;YYY;[0, 1, 2]
43;2.471399533651105e-14;YYZ;[0, 1, 2]
45;-6.613653219690158e-14;YZX;[0, 1, 2]
46;4.290092112833241e-14;YZY;[0, 1, 2]
49;9.44697550726671e-14;ZIX;[0, 1, 2]
50;-8.668334751649253e-14;ZIY;[0, 1, 2]
52;-4.800673747418216e-14;ZXI;[0, 1, 2]
53;3.4465742311589026e-13;ZXX;[0, 1, 2]
54;-1.585040480834722e-14;ZXY;[0, 1, 2]
55;-0.13529902503659869;ZXZ;[0, 1, 2]
56;5.05914754533876e-14;ZYI;[0, 1, 2]
57;-1.1549276080325334e-14;ZYX;[0, 1, 2]
58;3.459944589526428e-13;ZYY;[0, 1, 2]
59;0.13529902503659327;ZYZ;[0, 1, 2]
60;-2.4175106361212784e-14;ZZI;[0, 1, 2]
63;-2.982336599899327e-14;ZZZ;[0, 1, 2]
