;PauliCoefficients;PauliStrings;Qbits
0;0.4999999999999999;IIIII;[0, 1, 2, 3, 4]
1;2.346609291406975e-05;IIIIX;[0, 1, 2, 3, 4]
2;4.567793576729261e-05;IIIIY;[0, 1, 2, 3, 4]
3;4.960500946948887e-07;IIIIZ;[0, 1, 2, 3, 4]
4;-1.2466428227335576e-05;IIIXI;[0, 1, 2, 3, 4]
5;-0.00018923221470171496;IIIXX;[0, 1, 2, 3, 4]
6;8.831619645323759e-05;IIIXY;[0, 1, 2, 3, 4]
7;0.004743628583685474;IIIXZ;[0, 1, 2, 3, 4]
8;-7.725593486797582e-05;IIIYI;[0, 1, 2, 3, 4]
9;9.009224543622864e-05;IIIYX;[0, 1, 2, 3, 4]
10;-3.2460261524636905e-05;IIIYY;[0, 1, 2, 3, 4]
11;-0.002194546521997887;IIIYZ;[0, 1, 2, 3, 4]
12;-0.000990119159154406;IIIZI;[0, 1, 2, 3, 4]
13;-8.960180086413645e-07;IIIZX;[0, 1, 2, 3, 4]
14;1.327967445068686e-07;IIIZY;[0, 1, 2, 3, 4]
15;-8.907781976538742e-05;IIIZZ;[0, 1, 2, 3, 4]
16;-0.06228499083890568;IIXII;[0, 1, 2, 3, 4]
17;-3.072710333951091e-05;IIXIX;[0, 1, 2, 3, 4]
18;2.323983777901594e-05;IIXIY;[0, 1, 2, 3, 4]
19;0.00019284737776118985;IIXIZ;[0, 1, 2, 3, 4]
20;6.176921313504622e-05;IIXXI;[0, 1, 2, 3, 4]
21;0.00011169798280019364;IIXXX;[0, 1, 2, 3, 4]
22;-1.3646355518889502e-05;IIXXY;[0, 1, 2, 3, 4]
23;0.030585078527063655;IIXXZ;[0, 1, 2, 3, 4]
24;7.484499220947118e-06;IIXYI;[0, 1, 2, 3, 4]
25;2.8033896188505104e-05;IIXYX;[0, 1, 2, 3, 4]
26;2.0657335253957058e-06;IIXYY;[0, 1, 2, 3, 4]
27;0.0764790335957142;IIXYZ;[0, 1, 2, 3, 4]
28;0.0011439981814202731;IIXZI;[0, 1, 2, 3, 4]
29;-3.5663269281122723e-05;IIXZX;[0, 1, 2, 3, 4]
30;-5.614992092234453e-05;IIXZY;[0, 1, 2, 3, 4]
31;-0.000165640791960079;IIXZZ;[0, 1, 2, 3, 4]
32;-0.05397209426936643;IIYII;[0, 1, 2, 3, 4]
33;1.173871236461304e-05;IIYIX;[0, 1, 2, 3, 4]
34;7.680906332693707e-05;IIYIY;[0, 1, 2, 3, 4]
35;3.195141569423479e-05;IIYIZ;[0, 1, 2, 3, 4]
36;1.2523517631983787e-05;IIYXI;[0, 1, 2, 3, 4]
37;5.367531691622517e-06;IIYXX;[0, 1, 2, 3, 4]
38;-8.614324302487852e-05;IIYXY;[0, 1, 2, 3, 4]
39;-0.03553354240440709;IIYXZ;[0, 1, 2, 3, 4]
40;0.0001465261951449138;IIYYI;[0, 1, 2, 3, 4]
41;-1.42518133218292e-05;IIYYX;[0, 1, 2, 3, 4]
42;3.1168567523163986e-06;IIYYY;[0, 1, 2, 3, 4]
43;-0.08683342922102198;IIYYZ;[0, 1, 2, 3, 4]
44;-0.009539778703313347;IIYZI;[0, 1, 2, 3, 4]
45;-2.4613527916225203e-05;IIYZX;[0, 1, 2, 3, 4]
46;-4.691917776410146e-05;IIYZY;[0, 1, 2, 3, 4]
47;2.6093426777201723e-06;IIYZZ;[0, 1, 2, 3, 4]
48;-0.21063198800450983;IIZII;[0, 1, 2, 3, 4]
49;8.278178849103615e-06;IIZIX;[0, 1, 2, 3, 4]
50;4.455928341355581e-06;IIZIY;[0, 1, 2, 3, 4]
51;-9.715014961626106e-05;IIZIZ;[0, 1, 2, 3, 4]
52;9.976646687830538e-05;IIZXI;[0, 1, 2, 3, 4]
53;0.00013103370241839647;IIZXX;[0, 1, 2, 3, 4]
54;-5.5740547526404666e-05;IIZXY;[0, 1, 2, 3, 4]
55;0.00023284573872893628;IIZXZ;[0, 1, 2, 3, 4]
56;9.456057120482014e-05;IIZYI;[0, 1, 2, 3, 4]
57;-2.1122357516721183e-05;IIZYX;[0, 1, 2, 3, 4]
58;6.143196173686137e-06;IIZYY;[0, 1, 2, 3, 4]
59;-0.0011629534665249224;IIZYZ;[0, 1, 2, 3, 4]
60;0.0035974958318284907;IIZZI;[0, 1, 2, 3, 4]
61;-2.578500209975165e-05;IIZZX;[0, 1, 2, 3, 4]
62;0.00014210355907809884;IIZZY;[0, 1, 2, 3, 4]
63;6.481454895072153e-05;IIZZZ;[0, 1, 2, 3, 4]
64;-1.2466428217508367e-05;IXIII;[0, 1, 2, 3, 4]
65;1.042313542088498e-05;IXIIX;[0, 1, 2, 3, 4]
66;3.763139579269221e-05;IXIIY;[0, 1, 2, 3, 4]
67;-1.045618465041892e-05;IXIIZ;[0, 1, 2, 3, 4]
68;3.085879750968452e-05;IXIXI;[0, 1, 2, 3, 4]
69;1.0935158549751381e-05;IXIXX;[0, 1, 2, 3, 4]
70;-2.6015263009079346e-05;IXIXY;[0, 1, 2, 3, 4]
71;-1.7218808307859716e-05;IXIXZ;[0, 1, 2, 3, 4]
72;-7.420560948978409e-06;IXIYI;[0, 1, 2, 3, 4]
73;-2.5219920398608474e-06;IXIYX;[0, 1, 2, 3, 4]
74;-2.405350425203471e-06;IXIYY;[0, 1, 2, 3, 4]
75;4.32639197307837e-06;IXIYZ;[0, 1, 2, 3, 4]
76;-0.00011395905910468237;IXIZI;[0, 1, 2, 3, 4]
77;-7.602357716523658e-06;IXIZX;[0, 1, 2, 3, 4]
78;-3.5459053250940896e-05;IXIZY;[0, 1, 2, 3, 4]
79;2.784559853978401e-05;IXIZZ;[0, 1, 2, 3, 4]
80;6.17692132261153e-05;IXXII;[0, 1, 2, 3, 4]
81;1.7826567138560752e-05;IXXIX;[0, 1, 2, 3, 4]
82;2.3649674356161014e-05;IXXIY;[0, 1, 2, 3, 4]
83;-3.134005043751694e-05;IXXIZ;[0, 1, 2, 3, 4]
84;4.279356202037746e-05;IXXXI;[0, 1, 2, 3, 4]
85;-1.945143990813008e-05;IXXXX;[0, 1, 2, 3, 4]
86;-5.211997959672274e-05;IXXXY;[0, 1, 2, 3, 4]
87;5.1043506069685905e-05;IXXXZ;[0, 1, 2, 3, 4]
88;-2.718394248074228e-05;IXXYI;[0, 1, 2, 3, 4]
89;-2.786528716617861e-05;IXXYX;[0, 1, 2, 3, 4]
90;2.110865842484713e-05;IXXYY;[0, 1, 2, 3, 4]
91;1.2393203867001597e-05;IXXYZ;[0, 1, 2, 3, 4]
92;0.00015179485611106335;IXXZI;[0, 1, 2, 3, 4]
93;2.7241289780512376e-06;IXXZX;[0, 1, 2, 3, 4]
94;-2.3751337759278947e-05;IXXZY;[0, 1, 2, 3, 4]
95;-1.873945830278877e-05;IXXZZ;[0, 1, 2, 3, 4]
96;1.25235176854613e-05;IXYII;[0, 1, 2, 3, 4]
97;2.4491004121410315e-05;IXYIX;[0, 1, 2, 3, 4]
98;-2.0900999817588177e-05;IXYIY;[0, 1, 2, 3, 4]
99;1.0074854251112013e-05;IXYIZ;[0, 1, 2, 3, 4]
100;-1.1446361277758061e-05;IXYXI;[0, 1, 2, 3, 4]
101;-3.909185292391639e-05;IXYXX;[0, 1, 2, 3, 4]
102;1.2195379818810583e-05;IXYXY;[0, 1, 2, 3, 4]
103;-1.8305587102438532e-05;IXYXZ;[0, 1, 2, 3, 4]
104;2.3239146303768998e-05;IXYYI;[0, 1, 2, 3, 4]
105;6.7346533126615e-05;IXYYX;[0, 1, 2, 3, 4]
106;-2.7938493747528888e-05;IXYYY;[0, 1, 2, 3, 4]
107;-1.936833407318369e-05;IXYYZ;[0, 1, 2, 3, 4]
108;-1.570862032510413e-05;IXYZI;[0, 1, 2, 3, 4]
109;3.188063302695391e-05;IXYZX;[0, 1, 2, 3, 4]
