;PauliCoefficients;PauliStrings;Qbits
0;0.7499999999999997;IIII;[0, 1, 2, 3]
1;-0.0014663750989184266;IIIX;[0, 1, 2, 3]
2;-0.0025259836826891256;IIIY;[0, 1, 2, 3]
3;-8.573312119022902e-06;IIIZ;[0, 1, 2, 3]
4;-0.007456244450796943;IIXI;[0, 1, 2, 3]
5;-0.0008130472929637467;IIXX;[0, 1, 2, 3]
6;0.00060261376341464;IIXY;[0, 1, 2, 3]
7;-0.11170960940639489;IIXZ;[0, 1, 2, 3]
8;-0.007359446828611893;IIYI;[0, 1, 2, 3]
9;-0.000816768947565772;IIYX;[0, 1, 2, 3]
10;0.0005439053520332729;IIYY;[0, 1, 2, 3]
11;0.04100171663135186;IIYZ;[0, 1, 2, 3]
12;-0.13824613900960536;IIZI;[0, 1, 2, 3]
13;0.0001926974292140756;IIZX;[0, 1, 2, 3]
14;-0.00011253501618904466;IIZY;[0, 1, 2, 3]
15;0.009344311388845436;IIZZ;[0, 1, 2, 3]
16;-0.007456244450797037;IXII;[0, 1, 2, 3]
17;0.00021154834741663391;IXIX;[0, 1, 2, 3]
18;-0.0004990429293075011;IXIY;[0, 1, 2, 3]
19;3.385292065439995e-05;IXIZ;[0, 1, 2, 3]
20;-0.0006180858670588232;IXXI;[0, 1, 2, 3]
21;-1.4214278372011446e-06;IXXX;[0, 1, 2, 3]
22;0.0005437529691404764;IXXY;[0, 1, 2, 3]
23;0.0004409011702996065;IXXZ;[0, 1, 2, 3]
24;-9.347729975161742e-05;IXYI;[0, 1, 2, 3]
25;-9.846966109781181e-05;IXYX;[0, 1, 2, 3]
26;-0.00020378044553369997;IXYY;[0, 1, 2, 3]
27;0.006116514243742118;IXYZ;[0, 1, 2, 3]
28;-0.010466608987438328;IXZI;[0, 1, 2, 3]
29;0.00019778512247751973;IXZX;[0, 1, 2, 3]
30;-0.00025547553118748925;IXZY;[0, 1, 2, 3]
31;0.00014118611590782735;IXZZ;[0, 1, 2, 3]
32;-0.007359446828611803;IYII;[0, 1, 2, 3]
33;0.0007592231212536407;IYIX;[0, 1, 2, 3]
34;-0.00022637240239396572;IYIY;[0, 1, 2, 3]
35;-0.000582417249455151;IYIZ;[0, 1, 2, 3]
36;-9.347729975169201e-05;IYXI;[0, 1, 2, 3]
37;-0.00040225597289046634;IYXX;[0, 1, 2, 3]
38;-4.767433207648018e-05;IYXY;[0, 1, 2, 3]
39;-0.0045446866527752185;IYXZ;[0, 1, 2, 3]
40;-8.55619033260941e-05;IYYI;[0, 1, 2, 3]
41;0.0001003579149028459;IYYX;[0, 1, 2, 3]
42;0.0002673770215228222;IYYY;[0, 1, 2, 3]
43;-0.006507513553851119;IYYZ;[0, 1, 2, 3]
44;-0.008918243291831635;IYZI;[0, 1, 2, 3]
