;PauliCoefficients;PauliStrings;Qbits
0;0.5000000000000003;III;[0, 1, 2]
1;3.0684710414924377e-14;IIX;[0, 1, 2]
2;-3.1960545321396694e-14;IIY;[0, 1, 2]
4;-1.0567935415650709e-14;IXI;[0, 1, 2]
5;-3.3522880651948306e-14;IXX;[0, 1, 2]
6;1.6875606814736877e-15;IXY;[0, 1, 2]
7;1.776009894705055e-14;IXZ;[0, 1, 2]
8;1.9897278269453977e-14;IYI;[0, 1, 2]
9;-9.224934184592914e-15;IYX;[0, 1, 2]
10;-3.131761343311279e-14;IYY;[0, 1, 2]
11;-2.647534969035803e-14;IYZ;[0, 1, 2]
12;-0.4619397662556529;IZI;[0, 1, 2]
15;-8.867906409193438e-15;IZZ;[0, 1, 2]
16;3.4637440485263404e-14;XII;[0, 1, 2]
19;2.740646251608858e-15;XIZ;[0, 1, 2]
20;-2.21432030697577e-15;XXI;[0, 1, 2]
21;2.2690486642384933e-13;XXX;[0, 1, 2]
22;-2.529234417389392e-13;XXY;[0, 1, 2]
23;-1.3335421092039446e-13;XXZ;[0, 1, 2]
24;2.4110216861189526e-15;XYI;[0, 1, 2]
25;2.8728224226587384e-13;XYX;[0, 1, 2]
26;2.2510032032796445e-13;XYY;[0, 1, 2]
27;-7.496851446922581e-15;XYZ;[0, 1, 2]
29;1.025628150116975e-15;XZX;[0, 1, 2]
30;1.3862354189889126e-13;XZY;[0, 1, 2]
32;-4.126007261545661e-14;YII;[0, 1, 2]
36;-1.0677846410886427e-14;YXI;[0, 1, 2]
37;-2.582043736806816e-13;YXX;[0, 1, 2]
38;-2.572443126569457e-13;YXY;[0, 1, 2]
39;1.944996355814077e-14;YXZ;[0, 1, 2]
40;1.2541508630226073e-15;YYI;[0, 1, 2]
41;2.151334665967397e-13;YYX;[0, 1, 2]
42;-2.607023754860882e-13;YYY;[0, 1, 2]
43;-1.3763648424106045e-13;YYZ;[0, 1, 2]
45;1.400168772158067e-13;YZX;[0, 1, 2]
46;-1.76731188277629e-14;YZY;[0, 1, 2]
49;8.672262127168429e-15;ZIX;[0, 1, 2]
50;-1.2396333959330263e-14;ZIY;[0, 1, 2]
52;8.291978215169138e-15;ZXI;[0, 1, 2]
53;-1.0879947116848587e-13;ZXX;[0, 1, 2]
54;8.159813970343155e-15;ZXY;[0, 1, 2]
55;-0.13529902503652488;ZXZ;[0, 1, 2]
56;-2.2083029849184754e-14;ZYI;[0, 1, 2]
58;-1.1310288643151534e-13;ZYY;[0, 1, 2]
59;0.13529902503654206;ZYZ;[0, 1, 2]
60;-1.2975731600306517e-14;ZZI;[0, 1, 2]
63;9.006684287271582e-15;ZZZ;[0, 1, 2]
