;PauliCoefficients;PauliStrings;Qbits
0;0.49999999999999994;III;[0, 1, 2]
1;-2.6400865001108276e-15;IIX;[0, 1, 2]
2;9.480805897299494e-16;IIY;[0, 1, 2]
4;7.563394355258879e-16;IXI;[0, 1, 2]
5;-1.6367115995841175e-15;IXX;[0, 1, 2]
6;-7.386669401143742e-16;IXY;[0, 1, 2]
7;-4.510281037539698e-16;IXZ;[0, 1, 2]
9;9.954060145589416e-16;IYX;[0, 1, 2]
10;-1.35828848168984e-15;IYY;[0, 1, 2]
11;-5.100087019371813e-16;IYZ;[0, 1, 2]
12;-0.46193976625564254;IZI;[0, 1, 2]
16;-1.3904350761040352e-15;XII;[0, 1, 2]
19;-7.233254793737043e-16;XIZ;[0, 1, 2]
21;-1.2435175502159557e-14;XXX;[0, 1, 2]
22;5.666176078680807e-15;XXY;[0, 1, 2]
23;5.407349915054205e-15;XXZ;[0, 1, 2]
24;-2.7968079241436072e-15;XYI;[0, 1, 2]
25;-7.1049665716776955e-15;XYX;[0, 1, 2]
26;-1.3383635562649876e-14;XYY;[0, 1, 2]
27;4.818194454525582e-16;XYZ;[0, 1, 2]
29;2.671670664648046e-15;XZX;[0, 1, 2]
30;-5.0490210970477456e-15;XZY;[0, 1, 2]
32;1.6807844178956532e-15;YII;[0, 1, 2]
35;-9.209755354178117e-16;YIZ;[0, 1, 2]
36;3.030995593400476e-15;YXI;[0, 1, 2]
37;4.455555932883493e-15;YXX;[0, 1, 2]
38;1.4388040455240447e-14;YXY;[0, 1, 2]
39;-4.662069341687669e-16;YXZ;[0, 1, 2]
40;-4.638216893892988e-16;YYI;[0, 1, 2]
41;-1.2616454105399133e-14;YYX;[0, 1, 2]
42;5.082062158254241e-15;YYY;[0, 1, 2]
43;5.237780695277472e-15;YYZ;[0, 1, 2]
45;-5.529539499893321e-15;YZX;[0, 1, 2]
46;-1.6212955999440892e-15;YZY;[0, 1, 2]
49;6.616343757592791e-16;ZIX;[0, 1, 2]
52;3.677613769070831e-16;ZXI;[0, 1, 2]
53;6.389853923760569e-15;ZXX;[0, 1, 2]
54;2.9617150745786525e-15;ZXY;[0, 1, 2]
55;-0.1352990250365504;ZXZ;[0, 1, 2]
56;8.257283745649602e-16;ZYI;[0, 1, 2]
57;-3.0311040136177247e-15;ZYX;[0, 1, 2]
58;6.2363308961366215e-15;ZYY;[0, 1, 2]
59;0.13529902503655097;ZYZ;[0, 1, 2]
