;PauliCoefficients;PauliStrings;Qbits
0;0.49999999999999994;IIIII;[0, 1, 2, 3, 4]
1;-2.847502938604605e-07;IIIIX;[0, 1, 2, 3, 4]
2;2.4026793314607495e-07;IIIIY;[0, 1, 2, 3, 4]
3;2.2425263729308753e-10;IIIIZ;[0, 1, 2, 3, 4]
4;1.3611405939575535e-06;IIIXI;[0, 1, 2, 3, 4]
5;-1.6496903499107532e-06;IIIXX;[0, 1, 2, 3, 4]
6;-1.7733979590893655e-07;IIIXY;[0, 1, 2, 3, 4]
7;2.330929259284145e-06;IIIXZ;[0, 1, 2, 3, 4]
8;-2.1768607663775552e-06;IIIYI;[0, 1, 2, 3, 4]
9;-1.985136516805054e-10;IIIYX;[0, 1, 2, 3, 4]
10;-1.3623609543709677e-06;IIIYY;[0, 1, 2, 3, 4]
11;-3.2660230458812084e-06;IIIYZ;[0, 1, 2, 3, 4]
12;6.465268060189266e-07;IIIZI;[0, 1, 2, 3, 4]
13;-1.873420793399689e-09;IIIZX;[0, 1, 2, 3, 4]
14;-1.1225106750078866e-10;IIIZY;[0, 1, 2, 3, 4]
15;3.2070765094982523e-07;IIIZZ;[0, 1, 2, 3, 4]
16;-0.050495191204487415;IIXII;[0, 1, 2, 3, 4]
17;-2.7677748435132216e-07;IIXIX;[0, 1, 2, 3, 4]
18;5.146235615497538e-06;IIXIY;[0, 1, 2, 3, 4]
19;-3.6547941256789146e-06;IIXIZ;[0, 1, 2, 3, 4]
20;3.854496931236361e-06;IIXXI;[0, 1, 2, 3, 4]
21;1.1203217047838168e-06;IIXXX;[0, 1, 2, 3, 4]
22;-9.499129494670099e-07;IIXXY;[0, 1, 2, 3, 4]
23;0.0041052160611640895;IIXXZ;[0, 1, 2, 3, 4]
24;6.885066114031336e-06;IIXYI;[0, 1, 2, 3, 4]
25;1.6931538734044237e-06;IIXYX;[0, 1, 2, 3, 4]
26;-4.691375321411556e-07;IIXYY;[0, 1, 2, 3, 4]
27;0.007112939606139984;IIXYZ;[0, 1, 2, 3, 4]
28;8.040049047799633e-06;IIXZI;[0, 1, 2, 3, 4]
29;6.232238434386488e-07;IIXZX;[0, 1, 2, 3, 4]
30;-1.7866180121188591e-06;IIXZY;[0, 1, 2, 3, 4]
31;6.8814777760845686e-06;IIXZZ;[0, 1, 2, 3, 4]
32;-0.008206134858691129;IIYII;[0, 1, 2, 3, 4]
33;1.7733440879866444e-07;IIYIX;[0, 1, 2, 3, 4]
34;-3.086014037966683e-07;IIYIY;[0, 1, 2, 3, 4]
35;-4.427918684300064e-07;IIYIZ;[0, 1, 2, 3, 4]
36;-4.09955343010028e-06;IIYXI;[0, 1, 2, 3, 4]
37;-4.351962537094284e-06;IIYXX;[0, 1, 2, 3, 4]
38;2.2458988021982084e-07;IIYXY;[0, 1, 2, 3, 4]
39;-0.025249783401552307;IIYXZ;[0, 1, 2, 3, 4]
40;-4.716526375137583e-06;IIYYI;[0, 1, 2, 3, 4]
41;2.094817590293192e-06;IIYYX;[0, 1, 2, 3, 4]
42;4.530241460899243e-08;IIYYY;[0, 1, 2, 3, 4]
43;-0.043732439965162184;IIYYZ;[0, 1, 2, 3, 4]
44;5.3984847492444255e-06;IIYZI;[0, 1, 2, 3, 4]
45;6.628203026015512e-07;IIYZX;[0, 1, 2, 3, 4]
46;9.421711405057333e-07;IIYZY;[0, 1, 2, 3, 4]
