;PauliCoefficients;PauliStrings;Qbits
0;0.4999999999999999;III;[0, 1, 2]
1;2.1839084360375516e-14;IIX;[0, 1, 2]
2;-1.9759008611144185e-14;IIY;[0, 1, 2]
4;-7.396860901565105e-15;IXI;[0, 1, 2]
5;5.300621053194732e-14;IXX;[0, 1, 2]
6;3.126969169708893e-14;IXY;[0, 1, 2]
7;3.5388358909926865e-15;IXZ;[0, 1, 2]
8;3.7816971776294395e-15;IYI;[0, 1, 2]
9;-3.4185761860205943e-14;IYX;[0, 1, 2]
10;4.6677939291583925e-14;IYY;[0, 1, 2]
11;2.1593837828959295e-14;IYZ;[0, 1, 2]
12;-0.46193976625565375;IZI;[0, 1, 2]
16;-1.3513800809720339e-14;XII;[0, 1, 2]
19;5.576139864519464e-15;XIZ;[0, 1, 2]
20;1.2735336873612169e-14;XXI;[0, 1, 2]
21;-3.253766613781073e-14;XXX;[0, 1, 2]
22;-1.218719136025781e-13;XXY;[0, 1, 2]
23;-2.847881977983968e-14;XXZ;[0, 1, 2]
24;3.3848940902796165e-14;XYI;[0, 1, 2]
25;1.0879556804066493e-13;XYX;[0, 1, 2]
26;-1.830382633655203e-14;XYY;[0, 1, 2]
27;-8.61508537034969e-14;XYZ;[0, 1, 2]
29;2.8716341370776943e-14;XZX;[0, 1, 2]
30;1.7968889180416947e-14;XZY;[0, 1, 2]
32;-3.3590907562008193e-14;YII;[0, 1, 2]
35;1.3668475802152552e-14;YIZ;[0, 1, 2]
36;-3.6717062224835006e-14;YXI;[0, 1, 2]
37;-9.05323992855811e-14;YXX;[0, 1, 2]
38;-1.4598782252517317e-15;YXY;[0, 1, 2]
39;8.107741095251392e-14;YXZ;[0, 1, 2]
40;1.7780671683273463e-14;YYI;[0, 1, 2]
41;-2.89346454782069e-14;YYX;[0, 1, 2]
42;-9.931703896792765e-14;YYY;[0, 1, 2]
43;-3.4991730650177355e-14;YYZ;[0, 1, 2]
45;3.04107596309916e-14;YZX;[0, 1, 2]
46;-4.1334286254163244e-14;YZY;[0, 1, 2]
48;2.498001805406602e-16;ZII;[0, 1, 2]
49;-2.2845223976442064e-14;ZIX;[0, 1, 2]
50;5.539480278562298e-15;ZIY;[0, 1, 2]
52;-9.534040223968532e-15;ZXI;[0, 1, 2]
53;-6.804626306866624e-14;ZXX;[0, 1, 2]
55;-0.13529902503651825;ZXZ;[0, 1, 2]
56;-1.0651202142497596e-14;ZYI;[0, 1, 2]
57;6.075868974608767e-16;ZYX;[0, 1, 2]
58;-7.456188444443512e-14;ZYY;[0, 1, 2]
59;0.1352990250365443;ZYZ;[0, 1, 2]
60;5.023759186428833e-15;ZZI;[0, 1, 2]
63;3.3029134982598407e-15;ZZZ;[0, 1, 2]
